rank,pozo_id,empresa_grupo,formacion,petroleo_total_m3,gas_total_mm3,boe_acumulado,meses_activo,primer_mes,ultimo_mes
64,159769,Tecpetrol,VACA MUERTA,6661.754102,326884.303316,1924082912.0,93,2018-10-01,2026-06-01
65,164155,Pampa Energía,VACA MUERTA,0.0,326217.822,1920118098.0,38,2023-04-01,2026-05-01
66,163454,Pan American Energy,VACA MUERTA,0.0,324726.7564,1911341690.0,47,2022-07-01,2026-05-01
67,165072,Pampa Energía,VACA MUERTA,0.0,324400.977,1909424153.0,29,2024-01-01,2026-05-01
68,164216,Pan American Energy,VACA MUERTA,0.0,324252.6504,1908551099.0,38,2023-04-01,2026-05-01
69,162609,TotalEnergies,VACA MUERTA,0.0,324071.535,1907485055.0,58,2021-09-01,2026-06-01
70,159962,Tecpetrol,VACA MUERTA,6812.261804,320556.21783,1886836750.0,93,2018-10-01,2026-06-01
71,164169,TotalEnergies,VACA MUERTA,0.0,319279.411,1879278612.0,39,2023-04-01,2026-06-01
72,161525,TotalEnergies,VACA MUERTA,0.0,318070.602,1872163563.0,79,2019-12-01,2026-06-01
73,164499,Tecpetrol,VACA MUERTA,7102.571456,317014.6631,1865992982.0,36,2023-07-01,2026-06-01
74,162992,Tecpetrol,VACA MUERTA,7169.543821,316963.9669,1865695006.0,54,2022-01-01,2026-06-01
75,164099,Tecpetrol,VACA MUERTA,5689.514699,316708.2683,1864180654.0,40,2023-03-01,2026-06-01
76,159961,Tecpetrol,VACA MUERTA,6829.201377,316618.73146,1863660808.0,93,2018-10-01,2026-06-01
77,163256,Pan American Energy,VACA MUERTA,0.0,315881.425,1859278064.0,49,2022-05-01,2026-05-01
78,159193,Pan American Energy,VACA MUERTA,0.0,313412.86908,1844748151.0,98,2018-04-01,2026-05-01
79,165071,Pampa Energía,VACA MUERTA,0.0,313376.92699999997,1844536593.0,29,2024-01-01,2026-05-01
80,164146,TotalEnergies,VACA MUERTA,8851.85121,313169.759,1843372881.0,40,2023-03-01,2026-06-01
81,164235,Pluspetrol,VACA MUERTA,14708.657,310614.395,1828368846.0,38,2023-05-01,2026-06-01
82,160461,TotalEnergies,VACA MUERTA,4109.88551,310059.844,1825038091.0,87,2019-04-01,2026-06-01
83,160023,Tecpetrol,VACA MUERTA,6335.088664,310000.2026,1824701039.0,92,2018-10-01,2026-06-01
84,164236,Pluspetrol,VACA MUERTA,23194.517,309742.144,1823288149.0,38,2023-05-01,2026-06-01
85,163153,Tecpetrol,VACA MUERTA,27215.227,308693.213,1817139436.0,52,2022-03-01,2026-06-01
86,159963,Tecpetrol,VACA MUERTA,6602.695535,308579.938625,1816343051.0,93,2018-10-01,2026-06-01
87,164066,Pan American Energy,VACA MUERTA,0.0,307498.2537,1809934718.0,40,2023-02-01,2026-05-01
88,160535,TotalEnergies,VACA MUERTA,0.0,307248.673,1808465695.0,86,2019-05-01,2026-06-01
89,164498,Tecpetrol,VACA MUERTA,6967.315038,307172.7289,1808062508.0,36,2023-07-01,2026-06-01
90,164500,Tecpetrol,VACA MUERTA,7229.674614,306363.46199,1803300811.0,36,2023-07-01,2026-06-01
91,159959,Tecpetrol,VACA MUERTA,6133.008678,306225.23871,1802480326.0,93,2018-10-01,2026-06-01
92,161568,Pan American Energy,VACA MUERTA,0.0,304834.53382,1794256064.0,77,2020-01-01,2026-05-01
93,164208,Pan American Energy,VACA MUERTA,0.0,304467.2846,1792094438.0,38,2023-04-01,2026-05-01
94,164258,Pampa Energía,VACA MUERTA,0.0,303614.6037,1787075557.0,37,2023-05-01,2026-05-01
95,160024,Tecpetrol,VACA MUERTA,6273.499814,303379.6058,1785731820.0,92,2018-10-01,2026-06-01
96,163293,Tecpetrol,VACA MUERTA,7174.287337,302371.814,1779805623.0,49,2022-06-01,2026-06-01
97,160026,Tecpetrol,VACA MUERTA,6081.104089,301190.0062,1772842629.0,92,2018-10-01,2026-06-01
98,159411,Pan American Energy,VACA MUERTA,0.0,300616.42954,1769428308.0,96,2018-06-01,2026-05-01
99,160027,Tecpetrol,VACA MUERTA,6037.876601,299333.65249999997,1761915863.0,92,2018-10-01,2026-06-01
100,160961,Pampa Energía,VACA MUERTA,0.0,299106.92704,1760543372.0,82,2019-08-01,2026-05-01
101,164097,Tecpetrol,VACA MUERTA,4960.032263,298793.656142,1758730658.0,40,2023-03-01,2026-06-01
102,159957,Tecpetrol,VACA MUERTA,6235.498875,297758.66246,1752646711.0,93,2018-10-01,2026-06-01
103,162610,TotalEnergies,VACA MUERTA,0.0,295201.277,1737554717.0,58,2021-09-01,2026-06-01
104,159960,Tecpetrol,VACA MUERTA,6115.012049,294869.86849,1735642512.0,93,2018-10-01,2026-06-01
105,163701,Pampa Energía,VACA MUERTA,0.0,293961.46,1730257152.0,44,2022-10-01,2026-05-01
106,164171,TotalEnergies,VACA MUERTA,0.0,293879.936,1729777303.0,39,2023-04-01,2026-06-01
107,163821,Pampa Energía,VACA MUERTA,0.0,292593.5798,1722205812.0,42,2022-12-01,2026-05-01
108,162596,Tecpetrol,VACA MUERTA,38476.74542,291774.468,1717626540.0,59,2021-08-01,2026-06-01
109,163321,YPF,VACA MUERTA,85.39,291733.49,1717143859.0,49,2022-06-01,2026-06-01
110,160193,ExxonMobil,VACA MUERTA,0.0,291715.88149,1717039682.0,73,2019-01-01,2025-01-01
111,163796,TotalEnergies,VACA MUERTA,4029.54355,291215.364,1714118975.0,44,2022-11-01,2026-06-01
112,163819,Pampa Energía,VACA MUERTA,0.0,290558.812,1710229171.0,42,2022-12-01,2026-05-01
113,164629,Pampa Energía,VACA MUERTA,0.0,289473.989,1703843900.0,33,2023-09-01,2026-05-01
114,159565,Tecpetrol,VACA MUERTA,26825.3481,288518.1066,1698386309.0,95,2018-08-01,2026-06-01
115,159921,Tecpetrol,VACA MUERTA,6078.919236,288481.1974,1698038558.0,93,2018-10-01,2026-06-01
116,162594,Tecpetrol,VACA MUERTA,6982.986755,288110.5479,1695862605.0,59,2021-08-01,2026-06-01
117,163154,Tecpetrol,VACA MUERTA,25758.42013,287097.9805,1690020733.0,52,2022-03-01,2026-06-01
118,162322,Tecpetrol,VACA MUERTA,32851.91284,287023.4365,1689626587.0,62,2021-05-01,2026-06-01
119,159399,Tecpetrol,VACA MUERTA,36041.022569,286507.38037,1686609137.0,97,2018-06-01,2026-06-01
120,159674,Tecpetrol,VACA MUERTA,14056.318053,285128.451466,1678354479.0,94,2018-09-01,2026-06-01
121,160464,Tecpetrol,VACA MUERTA,31750.18273,284681.9073,1675837412.0,87,2019-04-01,2026-06-01
122,163052,Tecpetrol,VACA MUERTA,7161.109498,283602.444,1669329027.0,52,2022-03-01,2026-06-01
123,164004,Pluspetrol,VACA MUERTA,58299.557,283382.572,1668356521.0,41,2023-02-01,2026-06-01
124,163150,Tecpetrol,VACA MUERTA,24080.33532,283159.4093,1666827747.0,52,2022-03-01,2026-06-01
125,164248,Tecpetrol,VACA MUERTA,36924.4925,282906.629,1665420673.0,39,2023-04-01,2026-06-01
126,159462,TotalEnergies,VACA MUERTA,0.0,282792.4687,1664516471.0,97,2018-06-01,2026-06-01
127,162572,YPF,VACA MUERTA,1392.34,282726.49,1664136880.0,59,2021-08-01,2026-06-01
128,160947,TotalEnergies,VACA MUERTA,0.0,282406.15,1662242600.0,83,2019-08-01,2026-06-01
129,162334,YPF,VACA MUERTA,220.26,282270.52,1661445668.0,62,2021-05-01,2026-06-01
