pozo_id,empresa_grupo,formacion,fase_ajustada,anio_inicio,qi,di_anual_pct,b_factor,eur_nativo,eur_boe,np_actual_nativo,factor_recup_pct,r2,n_meses_ajuste,meses_hasta_pico,calidad_fit
160949,TotalEnergies,VACA MUERTA,GAS,2019,10538.2,66.9,0.883,379396.6,2233128.0,265988.6,70.1,0.9789,79,5,BUENO
163151,Tecpetrol,VACA MUERTA,GAS,2022,21157.5,98.7,1.126,378950.5,2230503.0,247141.0,65.2,0.8385,50,3,BUENO
162485,YPF,VACA MUERTA,PETROLEO,2021,5717.3,87.9,2.0,354493.2,2229691.0,169687.1,47.9,0.8005,37,24,BUENO
163051,Tecpetrol,VACA MUERTA,GAS,2022,18537.5,99.3,1.304,377943.1,2224573.0,219207.2,58.0,0.8418,51,2,BUENO
159398,Tecpetrol,VACA MUERTA,GAS,2018,10625.7,58.1,0.758,376272.7,2214741.0,281833.7,74.9,0.8907,96,2,BUENO
158422,YPF,VACA MUERTA,GAS,2017,4528.1,43.6,2.0,375173.2,2208269.0,231607.3,61.7,0.0912,104,3,DESCARTADO
159637,TotalEnergies,VACA MUERTA,GAS,2018,10114.4,82.1,1.313,374728.6,2205653.0,246312.0,65.7,0.9867,94,2,BUENO
165803,Vista Energy,VACA MUERTA,PETROLEO,2024,9912.7,99.3,2.0,350394.8,2203913.0,87228.6,24.9,0.945,19,2,BUENO
163400,Tecpetrol,VACA MUERTA,GAS,2022,11246.3,37.5,0.224,374335.4,2203338.0,278346.4,74.4,0.689,47,2,REGULAR
165227,Pan American Energy,VACA MUERTA,GAS,2024,13111.6,85.9,1.099,374239.2,2202772.0,159315.3,42.6,0.8186,27,3,BUENO
162391,Tecpetrol,VACA MUERTA,GAS,2021,14726.0,85.4,0.977,373786.7,2200109.0,242344.7,64.8,0.7671,60,2,BUENO
164574,YPF,VACA MUERTA,PETROLEO,2023,9347.3,90.3,1.532,349599.7,2198912.0,137984.5,39.5,0.9077,34,2,BUENO
165557,Pampa Energía,VACA MUERTA,GAS,2024,9703.9,27.6,0.01,373502.8,2198437.0,177043.9,47.4,0.3759,22,2,DESCARTADO
162568,YPF,VACA MUERTA,PETROLEO,2021,6294.5,87.5,2.0,346380.6,2178665.0,169715.6,49.0,0.397,53,7,DESCARTADO
163009,YPF,VACA MUERTA,GAS,2022,9350.4,99.9,2.0,370086.7,2178330.0,206039.0,55.7,0.2927,41,14,DESCARTADO
164501,Tecpetrol,VACA MUERTA,PETROLEO,2023,5965.0,78.8,2.0,346306.3,2178197.0,106081.1,30.6,0.0692,27,10,DESCARTADO
165279,YPF,VACA MUERTA,PETROLEO,2024,8068.1,91.0,1.748,344391.5,2166154.0,108175.9,31.4,0.426,24,4,REGULAR
163006,YPF,VACA MUERTA,GAS,2022,7335.0,32.4,0.336,367831.3,2165055.0,239554.7,65.1,0.4141,48,7,REGULAR
159532,Tecpetrol,VACA MUERTA,GAS,2018,13321.0,98.6,1.535,367204.8,2161367.0,244297.8,66.5,0.6476,95,2,REGULAR
162217,YPF,VACA MUERTA,GAS,2021,16293.5,96.9,1.177,366007.0,2154317.0,239164.0,65.3,0.6046,61,4,REGULAR
166793,Vista Energy,VACA MUERTA,PETROLEO,2025,6471.7,84.2,2.0,342328.6,2153178.0,46232.4,13.5,0.8744,8,3,BUENO
166317,YPF,VACA MUERTA,PETROLEO,2025,7172.0,91.5,2.0,340643.0,2142576.0,75139.0,22.1,0.2548,15,2,DESCARTADO
162596,Tecpetrol,VACA MUERTA,GAS,2021,15158.1,62.1,0.514,363996.9,2142486.0,293533.4,80.6,0.8847,58,2,BUENO
165609,Pan American Energy,VACA MUERTA,PETROLEO,2024,7224.6,58.5,0.914,340521.9,2141815.0,122299.8,35.9,0.9797,15,9,BUENO
166874,YPF,VACA MUERTA,PETROLEO,2025,8988.8,91.1,1.582,340178.1,2139652.0,58381.7,17.2,0.9441,8,2,BUENO
164814,YPF,VACA MUERTA,GAS,2023,9991.6,69.2,0.983,363298.3,2138374.0,143303.8,39.4,0.5952,25,8,REGULAR
162571,YPF,VACA MUERTA,GAS,2021,11465.6,54.5,0.511,361848.5,2129840.0,273917.5,75.7,0.8208,55,5,BUENO
164023,YPF,VACA MUERTA,GAS,2023,11070.6,98.9,1.49,359973.4,2118803.0,185301.0,51.5,0.7128,27,15,BUENO
160534,TotalEnergies,VACA MUERTA,GAS,2019,12436.6,77.9,0.92,359913.4,2118450.0,260237.4,72.3,0.8329,84,3,BUENO
164216,Pan American Energy,VACA MUERTA,GAS,2023,17024.2,48.4,0.01,359749.2,2117484.0,329906.2,91.7,0.8274,36,4,BUENO
160961,Pampa Energía,VACA MUERTA,GAS,2019,13405.5,62.6,0.574,359630.4,2116785.0,302032.6,84.0,0.8756,81,3,BUENO
159351,Tecpetrol,VACA MUERTA,GAS,2018,8684.5,51.8,0.768,359065.4,2113459.0,260613.0,72.6,0.8334,96,2,BUENO
159964,Tecpetrol,VACA MUERTA,GAS,2018,13796.0,42.0,0.108,357717.6,2105526.0,358991.7,100.4,0.9184,89,5,BUENO
166879,YPF,VACA MUERTA,PETROLEO,2025,3845.8,40.5,2.0,334303.5,2102702.0,31968.6,9.6,0.1825,7,3,DESCARTADO
165097,Shell,VACA MUERTA,PETROLEO,2024,8529.2,70.2,1.056,333478.5,2097513.0,134649.2,40.4,0.7336,26,3,BUENO
159354,Tecpetrol,VACA MUERTA,GAS,2018,8770.3,69.1,1.051,356024.0,2095557.0,250863.2,70.5,0.8925,93,5,BUENO
165832,Tecpetrol,VACA MUERTA,GAS,2024,7524.9,22.7,0.01,355850.7,2094537.0,119343.0,33.5,0.2575,18,2,DESCARTADO
160851,YPF,VACA MUERTA,GAS,2019,12782.5,51.9,0.367,354464.0,2086375.0,330802.5,93.3,0.6941,80,5,REGULAR
165443,Pluspetrol,VACA MUERTA,GAS,2023,8791.4,97.2,1.95,354044.9,2083908.0,84125.2,23.8,0.7474,15,12,BUENO
162390,Tecpetrol,VACA MUERTA,GAS,2021,10630.7,94.3,1.526,353925.6,2083206.0,187705.9,53.0,0.6674,60,2,REGULAR
161568,Pan American Energy,VACA MUERTA,GAS,2020,11723.1,44.2,0.336,353481.8,2080594.0,307208.4,86.9,0.8783,78,1,BUENO
160004,TotalEnergies,VACA MUERTA,GAS,2018,9767.7,71.0,1.019,350972.6,2065825.0,242777.6,69.2,0.9854,91,3,BUENO
159962,Tecpetrol,VACA MUERTA,GAS,2018,11953.5,52.6,0.397,349915.0,2059600.0,322696.1,92.2,0.8279,87,7,BUENO
162409,YPF,VACA MUERTA,GAS,2021,15395.5,96.2,1.175,349863.8,2059298.0,220722.2,63.1,0.8324,60,2,BUENO
159239,TotalEnergies,VACA MUERTA,GAS,2018,11705.8,94.6,1.403,349855.8,2059251.0,235386.6,67.3,0.9778,96,5,BUENO
161513,YPF,VACA MUERTA,PETROLEO,2019,3180.9,30.0,2.0,326713.5,2054963.0,165208.7,50.6,0.038,74,6,DESCARTADO
162320,Tecpetrol,VACA MUERTA,GAS,2021,17780.1,85.3,0.744,348346.7,2050369.0,278222.8,79.9,0.8537,60,3,BUENO
