empresa_grupo,anio,petroleo_m3,gas_mm3,boe,pozos
Petrolera,2025,255328.682645872,13919.324354234,83535163.0,56
Phoenix,2026,204497.61919,12591.058042,75397254.0,59
TotalEnergies,2013,8094.531300000001,12691.45313,74752811.0,11
Petrolera,2026,184776.19384873,11588.234293348,69370588.0,60
Tecpetrol,2016,472.046999,11143.345,65592697.0,3
Capex,2025,117918.91,10054.28,59921208.0,19
Kilwer,2022,124964.8543,9604.0525,57315479.0,15
Petrobras,2017,140.022,9534.684182,56122030.0,3
TotalEnergies,2012,2277.8514,9479.2285,55809067.0,5
Tecpetrol,2015,404.73400899999996,9360.76031,55099979.0,2
Petrobras,2014,3004.5280000000002,9319.108,54871170.0,2
Wintershall,2020,64998.09,8006.908,47537498.0,14
Pan American Energy,2017,27142.925457,7924.598913,46814918.0,14
Exxonmobil,2014,22670.57,6923.806,40896120.0,2
O&g,2015,61772.67,6814.07,40496168.0,12
O&g,2019,40514.72502162476,6771.228273620447,40110287.0,23
Wintershall,2017,27525.63,6744.4,39870677.0,9
Pluspetrol,2018,8255.02,6661.23,39259927.0,10
Chevron,2014,7260.9,6568.532,38708052.0,4
Wintershall,2021,40959.46,5808.24,34444937.0,14
Capex,2024,68211.52,5767.41,34376029.0,14
Petrobras,2015,2449.415,5442.0459,32047288.0,2
Americas,2017,17738.416,5314.904,31395100.0,5
Exxonmobil,2015,13809.15,4882.252,28823796.0,2
O&g,2014,31500.0,4658.3,27616886.0,7
Chevron,2013,1781.2,3950.7799999999997,23265496.0,3
Petrobras,2016,1543.289,3692.633657,21744551.0,2
Chevron,2020,9129.13,3273.77525,19326863.0,9
Capex,2026,33301.15,3137.11,18674493.0,19
O&g,2016,31955.43,3094.23,18413639.0,13
Petroquimica,2024,12754.755326,3057.17224,18074742.0,9
Americas,2013,2434.7,2745.227,16173720.0,4
Petrolera,2017,11953.098,2482.008,14684288.0,9
Petroquimica,2025,7484.230384,2324.269753,13727729.0,9
Geopark,2026,26214.448,2297.72483,13689296.0,15
Kilwer,2019,26704.349,2064.16295,12317634.0,4
O&g,2013,15797.0,2023.527,12009843.0,4
Wintershall,2014,1122.529,1932.876,11383969.0,1
Tecpetrol,2014,0.0,1932.0220000000002,11371882.0,2
Wintershall,2016,8362.59,1916.175,11331207.0,4
Kilwer,2021,22250.293,1861.54556,11097013.0,5
Bentia,2025,1602.757,1850.8344,10904091.0,9
Capex,2023,11322.85,1779.3400000000001,10544419.0,10
Medanito,2013,4139.9800000000005,1736.49,10247021.0,2
YPF,2010,1628.78,1692.6000000000001,9972888.0,2
Petrolera,2011,8244.642,1667.8129999999999,9868607.0,6
Petrolera,2022,3101.985789,1585.322703,9350721.0,10
Petrolera,2015,11313.642,1512.0629999999999,8971167.0,7
Petrolera,2024,44799.80015522,1453.559610053,8837443.0,8
Capex,2022,1276.71,1422.95,8383513.0,8
Petrolera,2014,8651.293,1369.5030000000002,8115308.0,7
Capex,2013,3047.15,1356.57,8003937.0,5
Petrolera,2016,10875.307105,1306.539969049,7758705.0,7
Chevron,2015,2431.5299999999997,1275.83007,7524830.0,4
Medanito,2014,2478.7,1274.81,7519122.0,2
Petrolera,2021,2398.217,1273.21846,7509247.0,10
Petrolera,2010,9280.745,1263.738,7496739.0,6
Americas,2014,3764.4,1264.924,7469021.0,4
Geopark,2025,13708.7,1240.1674,7385856.0,15
Pan American Energy,2016,5122.513357,1229.3515399999999,7268181.0,3
Kilwer,2020,15273.169,1203.91367,7182303.0,4
Pluspetrol,2015,7678.98,1210.193,7171498.0,10
Pan American Energy,2013,1588.77612,1213.871683,7154842.0,2
Petrolera,2009,7837.864,1165.599,6910017.0,6
Medanito,2012,3682.52,1154.691,6819675.0,1
Pan American Energy,2015,2781.803245,1089.803756,6432083.0,3
Venoil,2023,1155.84,1089.51,6420126.0,1
Pluspetrol,2014,7814.0,1073.646,6368631.0,10
Chevron,2016,1792.56,1056.31824,6228765.0,4
Capex,2010,762.52,1029.9,6066788.0,1
Petrolera,2013,8250.491,967.896,5748928.0,7
Capex,2016,2885.14,964.84,5697195.0,6
Capex,2009,1192.85,950.88,5604383.0,1
Capex,2011,662.52,944.1899999999999,5561671.0,1
Capex,2017,2392.51,933.09,5507219.0,7
Capex,2008,1333.49,917.63,5409557.0,1
Pluspetrol,2013,7878.03,890.598,5291606.0,8
Petrolera,2019,13424.44,881.76021,5274478.0,10
Capex,2014,2752.96,870.74,5142489.0,5
Bentia,2026,1361.47,847.8,4998713.0,9
Capex,2007,4464.820000000001,811.5,4804572.0,1
Petrolera,2018,4369.863,804.733,4764141.0,13
Americas,2018,5489.851,791.9531,4695967.0,3
Venoil,2022,1193.36,795.5,4689819.0,1
Capex,2012,1176.47,781.23,4605720.0,5
Medanito,2017,1338.55,779.42,4596084.0,2
Chevron,2017,1773.11,769.54189,4540677.0,4
Pan American Energy,2012,3617.17443,766.07802,4531887.0,2
Petrolera,2020,4956.6498,718.56864,4260672.0,10
Capex,2015,2279.43,704.29,4159790.0,5
Petrolera,2012,6088.918,670.975,3987659.0,7
Capex,2018,1985.47,658.78,3890069.0,7
Medanito,2015,1612.69,648.1899999999999,3825388.0,2
Pluspetrol,2016,5394.43,567.121,3372004.0,10
Pan American Energy,2014,277.194048,568.15317,3345891.0,2
Americas,2015,1635.895,561.759,3316803.0,4
Tecpetrol,2013,43.369,537.919,3166464.0,1
Capex,2019,1569.89,526.71,3110092.0,7
Patagonia,2023,882.8960000000001,526.881,3106775.0,2
Venoil,2024,343.17,522.4,3077006.0,4
Medanito,2016,1551.94865,505.521528,2985263.0,2
Capex,2020,2104.01,485.4,2870297.0,7
Petrolera,2008,5934.225,475.26800000000003,2834752.0,6
Flxs,2025,10.371931,481.011117,2831296.0,14
Capex,2021,1529.23,457.96999999999997,2705232.0,7
Petroquimica,2026,1416.1561199999999,434.17554,2564464.0,9
Pluspetrol,2012,4509.33,402.099,2395117.0,7
Medanito,2021,1054.8,402.97,2378516.0,2
Flxs,2026,15.738942,396.847602,2335944.0,14
Vista Energy,2018,3217.2690000000002,389.42900000000003,2312415.0,7
Capetrol,2022,649.1,390.9,2304922.0,2
Medanito,2018,992.39,369.64,2181944.0,2
Americas,2012,1340.6,333.2,1969647.0,1
G,2025,761.77,302.28,1784013.0,1
Quintana,2025,2801.626559081198,249.4069632,1485631.0,8
G,2024,420.66999999999996,240.38,1417523.0,1
Patagonia,2024,600.4473,235.5767,1390381.0,2
Grecoil,2017,1066.728,229.3,1356367.0,1
Chevron,2018,457.42,223.3913,1317759.0,4
Quintana,2026,2101.740042775683,221.37471116051927,1316232.0,8
Petrolera,2023,5886.8927539999995,188.275570904,1145218.0,11
Petrobras,2006,2750.139,180.37,1078955.0,5
Wintershall,2015,1200.76,177.87,1054496.0,4
Chevron,2019,640.8,148.42033,877633.0,4
Petrobras,2007,2257.825,138.657,830337.0,5
Patagonia,2022,237.2,133.14000000000001,785153.0,2
Medanito,2019,1041.28,112.47,668548.0,2
Gas,2013,617.75,112.61000000000001,666708.0,1
Roch,2015,707.369958,99.8675,592272.0,3
G,2026,279.53,94.42,557515.0,1
Medanito,2020,1140.72,83.22,497009.0,2
Americas,2016,507.993,77.773,460968.0,3
Petrolera,2007,981.402,74.794,446411.0,6
Grecoil,2015,1390.72,62.99,379506.0,1
Argenta,2014,71.0,57.24,337361.0,1
Capetrol,2021,75.0,51.0,300658.0,2
Roch,2016,61.408463,39.19625,231095.0,3
Petrolera,2006,548.7909999999999,38.012,227191.0,1
Pluspetrol,2017,4843.03,24.011,171790.0,11
Grecoil,2016,1259.8899999999999,24.79,153838.0,1
Patagonia,2025,192.4057,20.1712,119939.0,2
Grecoil,2018,255.19,17.46,104374.0,1
Roch,2012,2113.269,5.814,47514.0,1
Argenta,2016,90.0,6.9,41180.0,1
Roch,2014,64.256802,6.5649999999999995,39046.0,1
Madalena,2016,62.187126000000006,5.52,32881.0,3
Grecoil,2014,136.72,4.15,25287.0,1
Roch,2013,1160.6424,1.4137499999999998,15623.0,1
Tango,2026,27.59991633,2.417726254,14404.0,4
Petroquimica,2023,1931.3980299999998,0.0,12148.0,9
Kilwer,2018,508.674,0.0,3200.0,3
