pozo_id,empresa_grupo,water_cut_prom,gor_prom,petroleo_prom_m3,meses,etapa_pozo
137082,Pluspetrol,1.8,11.7,65.68576086956521,92,Temprano (<30%)
137229,YPF,26.6,497.8,38.28828571428571,70,Temprano (<30%)
137233,YPF,64.0,68.2,36.347500000000004,24,Maduro (>60%)
137237,YPF,96.7,246084.2,3.27,6,Maduro (>60%)
137238,YPF,36.3,791.0,175.7589344262295,122,Intermedio (30-60%)
137239,YPF,0.0,524.0,72.19999999999999,2,Temprano (<30%)
137240,YPF,52.2,974.1,118.70311827956989,93,Intermedio (30-60%)
137242,YPF,24.3,548.4,62.21965986394559,147,Temprano (<30%)
137388,YPF,92.1,10674.8,24.29,2,Maduro (>60%)
137389,YPF,99.9,1229626.6,0.46,4,Maduro (>60%)
137390,YPF,55.4,722.2,123.18963855421687,83,Intermedio (30-60%)
137416,Pan American Energy,34.1,4787.3,70.00343096551724,87,Intermedio (30-60%)
137438,Pluspetrol,3.0,16.1,61.187444444444445,90,Temprano (<30%)
137473,YPF,20.4,175.0,171.6584,50,Temprano (<30%)
137475,YPF,24.0,1104.7,98.19572289156626,166,Temprano (<30%)
137534,Pan American Energy,37.8,28.5,32.76961294117647,51,Intermedio (30-60%)
137564,Geopark,0.0,0.0,33.18025,8,Temprano (<30%)
137564,Pluspetrol,0.1,0.4,89.18881118881119,143,Temprano (<30%)
137565,Pluspetrol,5.7,1407.4,35.697462686567164,67,Temprano (<30%)
137592,TotalEnergies,91.5,6378071.6,5.18,6,Maduro (>60%)
137609,YPF,51.5,767.6,98.9609195402299,87,Intermedio (30-60%)
137610,YPF,19.3,2125.7,70.07448484848484,165,Temprano (<30%)
137680,Capetrol,25.4,1365.2,24.604,10,Temprano (<30%)
137680,Medanito,28.0,398.8,116.29124225225226,111,Temprano (<30%)
137680,Patagonia,24.3,1257.9,23.732590909090906,22,Temprano (<30%)
137741,YPF,35.4,1239.0,205.2449494949495,99,Intermedio (30-60%)
137742,YPF,49.1,1351.8,43.70211267605634,142,Intermedio (30-60%)
137745,YPF,11.7,613.0,36.49885542168675,166,Temprano (<30%)
137789,Pluspetrol,33.2,4108.8,15.159333333333333,45,Intermedio (30-60%)
143869,YPF,31.0,191.7,769.705,2,Intermedio (30-60%)
143870,YPF,5.3,1213.2,73.02207792207793,77,Temprano (<30%)
143875,YPF,10.8,153.0,99.9212,75,Temprano (<30%)
143959,Geopark,0.0,0.0,33.18025,8,Temprano (<30%)
143959,Pluspetrol,0.5,0.2,68.90505050505051,99,Temprano (<30%)
143963,Americas Petrogas,25.3,131.5,162.24902857142857,35,Temprano (<30%)
144007,Bentia,35.8,225.5,71.59577777777777,9,Intermedio (30-60%)
144007,YPF,19.1,243.6,66.22764705882352,17,Temprano (<30%)
144107,TotalEnergies,41.6,232.5,156.98173811320754,53,Intermedio (30-60%)
144136,YPF,32.9,1195.9,77.8988990825688,109,Intermedio (30-60%)
144263,YPF,29.9,20171.3,34.5851724137931,58,Temprano (<30%)
144264,YPF,22.8,2164.9,135.00795454545454,44,Temprano (<30%)
144266,Bentia,28.5,929.3,21.138166666666667,6,Temprano (<30%)
144266,YPF,35.4,561.6,17.305,2,Intermedio (30-60%)
144272,Pluspetrol,2.3,2.4,45.9525,84,Temprano (<30%)
144287,Petrolera,18.4,181.3,97.76321212121212,33,Temprano (<30%)
144287,Vista Energy,0.0,309.1,76.30397344444445,27,Temprano (<30%)
144344,Americas Petrogas,77.2,20.2,93.35,2,Maduro (>60%)
144384,YPF,10.1,107.0,194.51339449541283,109,Temprano (<30%)
144385,YPF,7.8,140.1,482.5981159420289,69,Temprano (<30%)
144386,YPF,46.7,1967.2,210.08303030303028,33,Intermedio (30-60%)
144387,YPF,12.4,390.8,60.68780645161291,155,Temprano (<30%)
144388,YPF,26.8,793.5,134.65099378881987,161,Temprano (<30%)
144416,YPF,95.3,2721.1,4.081538461538462,26,Maduro (>60%)
144520,YPF,19.7,912.2,67.56369565217392,138,Temprano (<30%)
144521,YPF,23.3,354.7,158.63481132075472,106,Temprano (<30%)
144522,YPF,38.9,1040.6,183.99679487179486,78,Intermedio (30-60%)
144556,Pluspetrol,0.1,0.5,32.746904761904766,84,Temprano (<30%)
144634,O&G Developments,3.1,105.0,327.6836754244876,51,Temprano (<30%)
144634,Shell,5.3,92.2,148.98596153846154,52,Temprano (<30%)
144652,YPF,6.0,1166.2,46.047785714285716,140,Temprano (<30%)
144653,YPF,57.8,20834.9,64.02415584415584,77,Intermedio (30-60%)
144654,YPF,36.6,1217.7,22.941811594202896,138,Intermedio (30-60%)
144655,YPF,34.9,2760.5,74.4645,160,Intermedio (30-60%)
144656,YPF,25.8,1225.5,130.87646153846154,130,Temprano (<30%)
144657,YPF,35.1,1229.1,189.12205882352941,68,Intermedio (30-60%)
144658,YPF,94.5,23320.3,26.76,1,Maduro (>60%)
144689,Capetrol,47.5,217.5,47.806,10,Intermedio (30-60%)
144689,Medanito,32.0,340.0,59.468453980582524,103,Intermedio (30-60%)
144689,Patagonia,44.4,186.1,44.86554838709678,31,Intermedio (30-60%)
144701,TotalEnergies,39.8,837.6,328.40000000000003,4,Intermedio (30-60%)
144710,Flxs,69.9,26433.7,1.6224011111111112,9,Maduro (>60%)
144796,YPF,97.1,874.8,58.09521739130435,23,Maduro (>60%)
144850,YPF,28.0,415.9,123.82867256637168,113,Temprano (<30%)
144852,YPF,12.5,1029.1,121.01801282051282,156,Temprano (<30%)
144853,YPF,31.5,1091.1,80.955,156,Intermedio (30-60%)
144856,YPF,13.3,464.3,115.0660576923077,104,Temprano (<30%)
144882,Chevron,91.4,23048.4,75.48461538461538,13,Maduro (>60%)
144931,YPF,100.0,13602333.3,0.03,1,Maduro (>60%)
144940,YPF,61.1,4169.7,50.56018987341772,158,Maduro (>60%)
144941,YPF,65.4,1639.1,104.0008,100,Maduro (>60%)
144942,YPF,68.4,1610.1,92.86087378640777,103,Maduro (>60%)
144943,YPF,67.5,31873.5,49.974404761904765,84,Maduro (>60%)
144946,YPF,23.4,571.7,59.84303797468355,158,Temprano (<30%)
145001,Pampa Energía,2.4,58.3,162.24755555555555,9,Temprano (<30%)
145001,Petrobras,6.8,84.7,222.69121875,32,Temprano (<30%)
145032,Americas Petrogas,94.5,39110.6,44.5,2,Maduro (>60%)
145032,ExxonMobil,37.5,7110.5,82.5143076923077,65,Intermedio (30-60%)
145043,O&G Developments,4.3,90.0,359.1254270791803,54,Temprano (<30%)
145043,Shell,3.4,86.2,89.64704545454545,44,Temprano (<30%)
145081,YPF,67.1,3594.9,96.22218390804598,87,Maduro (>60%)
145082,YPF,28.7,2429.2,70.95126666666667,150,Temprano (<30%)
145083,YPF,10.6,580.2,40.39127388535032,157,Temprano (<30%)
145084,YPF,8.9,802.5,65.77165605095541,157,Temprano (<30%)
145085,YPF,20.5,575.8,124.12205128205129,156,Temprano (<30%)
145086,YPF,34.1,676.6,82.42967320261438,153,Intermedio (30-60%)
145087,YPF,25.1,972.2,84.1948322147651,149,Temprano (<30%)
145088,YPF,22.5,580.2,80.27729927007299,137,Temprano (<30%)
145089,YPF,19.7,2542.3,105.93161764705883,68,Temprano (<30%)
145090,YPF,21.6,409.0,73.18509554140127,157,Temprano (<30%)
145091,YPF,11.1,377.2,75.69031847133758,157,Temprano (<30%)
145092,YPF,6.7,612.8,52.41942675159236,157,Temprano (<30%)
145093,YPF,17.9,382.3,122.4894,100,Temprano (<30%)
145136,Bentia,57.4,29428.8,3.7357272727272726,11,Intermedio (30-60%)
145136,YPF,53.3,10288.9,10.833529411764705,17,Intermedio (30-60%)
145199,TotalEnergies,56.8,268.4,167.98666666666665,3,Intermedio (30-60%)
145200,TotalEnergies,35.2,308.9,590.819575,4,Intermedio (30-60%)
145244,YPF,85.8,611.5,109.46107142857143,28,Maduro (>60%)
145256,YPF,41.3,930.1,157.88382352941176,136,Intermedio (30-60%)
145261,YPF,61.1,1795.0,79.10816326530613,98,Maduro (>60%)
145263,YPF,13.3,314.7,137.9271523178808,151,Temprano (<30%)
145264,YPF,16.3,319.6,117.20620000000001,100,Temprano (<30%)
145295,Petrobras,99.5,1485607.0,2.78375,4,Maduro (>60%)
145386,YPF,19.5,752.9,144.72470967741936,155,Temprano (<30%)
145387,YPF,15.5,709.6,147.69974193548387,155,Temprano (<30%)
145388,YPF,20.9,1095.7,102.01941935483872,155,Temprano (<30%)
145389,YPF,32.6,744.8,100.71974193548387,155,Intermedio (30-60%)
145390,YPF,13.7,286.2,93.0664935064935,154,Temprano (<30%)
145458,O&G Developments,40.2,337.2,575.6363636363636,11,Intermedio (30-60%)
145458,Vista Energy,23.4,235.8,159.35847368421054,38,Temprano (<30%)
145475,Chevron,37.5,559.7,65.9315,20,Intermedio (30-60%)
145536,YPF,92.6,96997.9,20.442333333333334,30,Maduro (>60%)
145542,YPF,15.7,1311.2,50.78416,125,Temprano (<30%)
145543,YPF,53.3,1121.4,39.85830065359477,153,Intermedio (30-60%)
145544,YPF,61.6,16042.0,44.149029850746274,134,Maduro (>60%)
145545,YPF,21.5,566.7,104.15695652173912,115,Temprano (<30%)
145546,YPF,27.4,384.0,58.81285714285715,154,Temprano (<30%)
145550,YPF,24.0,150.2,379.4422727272727,66,Temprano (<30%)
145551,YPF,17.8,969.3,131.25801724137932,116,Temprano (<30%)
145552,YPF,17.8,289.7,100.77,67,Temprano (<30%)
145608,TotalEnergies,65.4,1573.6,230.47766666666666,3,Maduro (>60%)
145713,YPF,79.2,2003.9,29.997450980392156,153,Maduro (>60%)
145714,YPF,50.3,1446.1,77.24848,125,Intermedio (30-60%)
145715,YPF,48.9,1449.3,56.68627450980392,153,Intermedio (30-60%)
145716,YPF,52.5,1934.4,61.22601307189542,153,Intermedio (30-60%)
145717,YPF,59.4,3098.0,73.8893288590604,149,Intermedio (30-60%)
145718,YPF,55.2,827.7,89.4525657894737,152,Intermedio (30-60%)
145719,YPF,32.7,3141.4,59.26954248366013,153,Intermedio (30-60%)
145720,YPF,47.2,1449.0,43.904657534246574,146,Intermedio (30-60%)
145721,YPF,17.3,423.2,116.97930434782609,115,Temprano (<30%)
145722,YPF,32.2,330.6,81.73263513513514,148,Intermedio (30-60%)
145723,YPF,37.5,5055.0,69.44900709219858,141,Intermedio (30-60%)
145724,YPF,19.8,384.9,156.33333333333334,90,Temprano (<30%)
145734,YPF,9.5,225.0,256.30942028985504,69,Temprano (<30%)
145735,YPF,13.3,235.4,135.55948717948718,117,Temprano (<30%)
145736,YPF,11.1,260.3,117.76580882352941,136,Temprano (<30%)
